address,cname,com_type,com_url,description,industry,info,is_collect,is_hr,logo,mina_url,name,pranum,reg_capi,reg_name,reg_num,scale,start_time,tags,types,url,vote_url,wurl
上海,上海穰川信息技术有限公司,有限责任公司（自然人投资或控股）,http://www.qichacha.com/firm_SH_e73e2fd4a930f708114605a90e7b9013.shtml,中文环境内领先的招聘智能技术服务团队,计算机/互联网,"<p><span style=""font-size:12px;"">麦穗人工智能深耕中国招聘市场，向中大型人力资源企业和平台提供核心人工智能技术服务（人岗匹配引擎+智能面试的系统化技术解决方案）。通过灵活多样的技术服务组合和轻松便捷的嵌入形式，在简历筛选、面试和求职培训业务中形成“AI+场景”的深度运用和AI技术生态。麦穗自有的简历分析、人岗匹配引擎和智能面试分析服务均处于业内领先水平。通过环环相扣的技术应用，定位中文环境内领先的招聘技术服务团队。</span></p><p><br></p><p><span style=""font-size:12px;"">2017年3月成立至今，麦穗已收获20余家中大型专业客户，并得到广东智通人才和英格玛人力资源技术基金两轮战略投资。同时，麦穗在招聘各个领域实践的“AI+场景”服务实践得到HRTechChina、HRoot（人力资本管理）、创业邦、36氪和猎云网等媒体的多次深度报道。2018年，麦穗迈入业务快速扩张期。截止2018年4月，麦穗累计服务触达人次突破1000万。</span><span style=""font-size:12px;"">​</span><br></p>",0,False,https://sxsimg.xiaoyuanzhao.com/A5/80/A5FB767DBCE5B2A959C407F2406CB780.png,pages/gsDetail/gsDetail?cuuid=com_clpkopl5vvu0,麦穗人工智能,7,70万人民币,统一社会信用代码,91310115MA1K3NK381,15-50人,2017-03-28,"[""\u5b9a\u671f\u56e2\u5efa"", ""\u6781\u5ba2\u6c1b\u56f4"", ""mentor\u5e26\u6559"", ""\u6709\u80a1\u6743\u5206\u7ea2"", ""\u529e\u516c\u6c1b\u56f4\u5e74\u8f7b"", ""\u786c\u4ef6\u706b\u529b\u8db3"", ""\u5317\u6e05\u590d\u4ea4""]","[{""job"": ""\u5ba2\u6237\u670d\u52a1""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u62db\u8058""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""Python""}]",https://www.shixiseng.com/com/com_clpkopl5vvu0,,www.mesoor.com
北京,北京畅游天下网络技术有限公司,有限责任公司(台港澳法人独资),http://www.qichacha.com/firm_SH_40eeb6da48dc39b0f76bcb4cab3f99fc.shtml,中国领先的互联网游戏开发和运营商,计算机/互联网,"<p>畅游公司(NASDAQ：CYOU)是中国领先的互联网游戏开发和运营商，于2009年4月在纳斯达克全球精选市场上市。公司致力于多元化的网络游戏开发、运营和授权代理，以""好游戏、大IP、大发行""为发展目标，秉承着匠人精神，畅游公司在中国网络游戏领域扮演着重要的角色。</p><p></p><p>畅游公司的旗舰游戏产品《新天龙八部》端游已经运营10年，拥有近3亿的注册用户，作为端游时代中国最经典的游戏之一，《新天龙八部》仍然在玩家心中占据着重要的地位。2017年5月，畅游公司研发的《天龙八部手游》在全渠道正式上线运营，《天龙八部手游》由天龙端游原班人马精心制作，游戏通过丰富多彩的社交模式和帮会互动功能来构建出庞大的用户社区，将曾经庞大的天龙用户群重新吸引回游戏中，传承经典，再创端游时代的辉煌。同时，经典版天龙手游简化了游戏内的操作方式，让新玩家更容易上手，将游戏的用户群向市场上更年轻的一代扩展。另外，畅游公司正在运营的《天龙八部3D》、《刀剑英雄》等游戏也都深受玩家喜爱。</p><p></p><p>研发技术方面，畅游公司基于Unity 5、CryEngine、Unreal Engine 4等国际先进的游戏开发引擎所研发的次世代渲染技术、分布式服务器集群技术和运动捕捉技术目前都处于行业的领先地位。同时，畅游自行研发的游戏引擎Fairy和Titan首次使用了延时渲染、实时全局光照、动态软阴影等先进技术用于制作高质量的游戏画面。我们还拥有统一的游戏开发平台、有效的反作弊和反黑客技术、自主研发的跨网络技术和先进的数据保护技术。</p><p></p><p>畅游公司拥有诸多知名IP的网络游戏开发和运营权，包括金庸武侠小说大部分作品、黄易玄幻小说部分作品、仙剑奇侠传部分作品、轩辕剑系列以及多个日本动漫IP和网络文学IP。</p><p></p><p>畅游公司旗下运营的17173.com网站是中国最具影响力的游戏门户网站之一，覆盖国内95%以上的端游和VR游戏以及30000多款手游，内容全面、丰富、专业，为游戏玩家提供相关的资讯、攻略、视频、论坛以及其它多种信息服务。</p><p></p><p>畅游旗下子公司晶茂传媒专注于映前广告市场，并和国内多家影投公司合作，拥有200余个城市的900多家优质影院资源，通过创新的营销和服务平台为广大广告主提供更多、更好的服务。</p><p></p><p>在截至2017年12月31日的财年，公司收入达到5.803亿美元，归属于畅游公司的净利润为1.088亿美元。</p><p></p>",0,False,https://sxsimg.xiaoyuanzhao.com/58/63/5801C1063347DFD45D39BC91D2AE4563.jpg,pages/gsDetail/gsDetail?cuuid=com_acphcwmo9zcs,搜狐畅游,2,1000 万元 美元,注册号,110000450025901,500-2000人,2007-09-26,"[""\u5f39\u6027\u5de5\u65f6"", ""\u798f\u5229\u591a"", ""\u53d1\u5c55\u524d\u666f\u597d"", ""\u5b66\u4e60\u6c1b\u56f4\u597d""]","[{""job"": ""C/C++""}, {""job"": ""\u8d22\u52a1""}, {""job"": ""\u5206\u6790/\u8c03\u7814""}, {""job"": ""\u4e91\u8ba1\u7b97/\u5927\u6570\u636e""}, {""job"": ""\u6cd5\u52a1""}, {""job"": ""\u7b97\u6cd5""}, {""job"": ""\u4ea7\u54c1\u52a9\u7406""}, {""job"": ""\u4ea7\u54c1\u8fd0\u8425""}, {""job"": ""\u6d4b\u8bd5""}, {""job"": ""\u4ea7\u54c1""}]",https://www.shixiseng.com/com/com_acphcwmo9zcs,,http://www.changyou.com/index.shtml
广州,义语智能科技（广州）有限公司,有限责任公司(法人独资),http://www.qichacha.com/firm_SH_f5ad627710a0e824c6611f10f450695f.shtml,DeepBrain人工智能实验室,计算机/互联网,义语智能科技（上海）有限公司于2017年4月注册成立，并启用DeepBrain品牌，致力于打造国内首家机器人SaaS平台。6月公司便获得金沙江、戈壁和钱世投资的青睐，完成天使轮和Pre-A轮融资，9月荣获SMP2017人机对话评测世界第一，10月公司与百度、长虹等企业达成战略合作，与中科院成立自然语言处理联合实验室，11月公司开发的智能玩具、智能音箱推向市场实现量产，同月在广州南沙投资成立子公司——义语智能科技（广州）有限公司，在广州市南沙区成立DeepBrain人工智能实验室，进驻广州市国际人工智能研究院，12月荣获国际会议NLPKE2017的Best Paper并发表于IJAI期刊。<br>,0,False,https://sxsimg.xiaoyuanzhao.com/09/C6/092F2ACC2A3EED6ADC50E3D63CEDFCC6.png,pages/gsDetail/gsDetail?cuuid=com_qcmzf5xenf9x,义语智能,0,100万人民币,注册号,440110000455032,15-50人,2017-11-29,"[""\u4eba\u5de5\u667a\u80fd""]","[{""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u7b97\u6cd5""}]",https://www.shixiseng.com/com/com_qcmzf5xenf9x,,https://www.deepbrain.ai
北京,北京嘀嘀无限科技发展有限公司,有限责任公司(台港澳法人独资),http://www.qichacha.com/firm_SH_ccb6c71c2be0ad917d194e34b1b8292f.shtml,国内首家通过移动互联网技术，开发新型网络智能叫车系统的公司,互联网,北京小桔科技有限公司，是国内首家通过移动互联网技术，开发新型网络智能叫车系统的公司。公司以创新和用户体验为宗旨，扎根服务交通运输行业。 其首推网络智能叫车系统：滴滴打车，帮助乘客随时随地、方便、快捷的叫到出租车，帮助司机低成本，更方便的接受预订，通过降低司机空驶率，改善市民叫车体验，是符合节能减排、智慧城市、绿色出行的样板项目！ 现滴滴打车开放北京、天津、石家庄、大连、上海、南京、杭州、南宁、南昌、武汉、西安、成都、重庆、广州、深圳、厦门、昆明、沈阳、青岛、济南等24个城市，每天为千万乘客提供更加便捷的出行体验，成为全国首屈一指的的移动叫车应用平台。 小桔科技的技术团队主要来自百度、华为等知名大型企业，运营团队主要来自阿里巴巴，如果你有意愿加入一家会创造奇迹的公司，如果你有意愿在大神级的技术团队学习成长，如果你每天上班不是跟取经一样，那小桔团队不会让你失望！,0,False,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,pages/gsDetail/gsDetail?cuuid=com_2ibdkj5l4uni,滴滴出行,1,560000 万元 人民币,组织机构代码,06733855-9,2000人以上,2013-05-06,"[""\u56e2\u961f\u5927\u725b\u591a"", ""\u516c\u53f8\u53d1\u5c55\u524d\u666f"", ""\u70ed\u95e8\u9886\u57df"", ""\u5b66\u4e60\u5185\u5bb9\u591a"", ""\u514d\u8d39\u665a\u9910"", ""\u4e0b\u5348\u8336""]","[{""job"": ""\u4ea7\u54c1\u8fd0\u8425""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u7b97\u6cd5""}]",https://www.shixiseng.com/com/com_2ibdkj5l4uni,,http://www.xiaojukeji.com
成都,清华四川能源互联网研究院,无,http://www.qichacha.com,中美在“气候智慧型/低碳城市”建设领域开展“2+2”合作的重要技术依托、交流平台和承载单位,"电气,能源","清华四川能源互联网研究院（以下简称研究院）成立于2016年3月，由清华大学与四川省共同创建。研究院依托清华大学电机系，致力于践行习近平总书记提出的能源“四个革命、一个合作”战略思想（推动能源消费革命、能源供给革命、能源技术革命和能源体制革命，全方位加强国际合作，实现开放条件下的能源安全），积极开展能源互联网的前沿研究和产业培育。
作为清华大学、四川省、美国华盛顿大学、美国华盛顿州在“气候智慧型/低碳城市”建设领域开展“2+2”合作的重要技术依托、交流平台和承载单位，研究院积极响应“能源革命”和“互联网+”行动的号召，以提高我国能源支撑保障能力，推进我国能源结构调整、促进全社会节能减排与能源消费升级，拓展能源国际合作，推进我国能源科技创新为目标，充分吸纳国内外能源相关领域的优秀人才，大力推动学科交叉融合，开展能源互联网核心技术研究及成果转化，建设能源互联网新型业态的科技转化中心、产业孵化基地和人才汇聚平台。
研究院建院一年半以来，凝聚形成能源装备与安全、储能与智能电网、能量管理与交易、能源芯片与传感、氢能与燃料电池技术等五大发展方向，22只创新创业团队，共计260余人，其中博士50人，硕士140人，本科68人，其他3人；国外引进（斯坦福大学、麻省理工大学等）26人，清华大学59人，其他院校（电子科大、四川大学、西安交大等）176人。",0,False,https://sxsimg.xiaoyuanzhao.com/E7/F7/E7F356E4041A136D288E70D7DA4BECF7.jpg,pages/gsDetail/gsDetail?cuuid=com_qb3eb5thrqbd,清华四川能源互联网研究院,14,无,注册号,无,150-500人,无,"[""\u6709\u8f6c\u6b63\u673a\u4f1a"", ""\u8d44\u6e90\u591a"", ""\u57f9\u517b\u65b0\u4eba""]","[{""job"": ""\u7535\u6c14\u8bbe\u8ba1""}, {""job"": ""\u7535\u6c14\u5de5\u7a0b""}, {""job"": ""UI/UE""}, {""job"": ""\u5d4c\u5165\u5f0f""}, {""job"": ""\u7535\u5b50\u7535\u6c14""}, {""job"": ""Python""}, {""job"": ""\u7535\u6c14""}, {""job"": ""\u786c\u4ef6""}, {""job"": ""\u673a\u68b0\u8bbe\u8ba1""}, {""job"": ""\u4e91\u8ba1\u7b97/\u5927\u6570\u636e""}, {""job"": ""\u57f9\u8bad""}, {""job"": ""\u7535\u5b50""}, {""job"": ""\u80fd\u6e90""}, {""job"": ""\u524d\u7aef""}, {""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_qb3eb5thrqbd,,http://news.tsinghua.edu.cn/publish/thunews/index.html
北京,网易有道信息技术（北京）有限公司,有限责任公司(台港澳与境内合资),http://www.qichacha.com/firm_SH_00dc0b8a741e0446a6d3301c5a2ce9d5.shtml,有道是网易旗下利用大数据技术提供移动互联网应用的子公司。,移动互联网,"<p>
	网易有道成立于2006年，是一家以技术驱动产品的教育科技公司，打造了一系列深受用户喜欢的口碑型大众学习工具产品。2014年网易有道公司宣布正式进军互联网教育行业，现已经成为网易公司在教育领域的重要布局。 2018年4月17日，有道宣布完成首次融资，投后估值11.2亿美金。<br>
<br>
我们的使命：用技术和AI，让语言、学习和工作更轻松有效。
</p>
<p>
	<br>
</p>
<p>
	<span>网易有道依托网易强大的产品服务平台和丰富的资源优势，吸纳了众多优秀的创新人才，现在已有500多位国内外高校的精英，并正在高速发展中。</span> 
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/3D/31/3DFFD4ED4083B7B51971DC8210DEAD31.png,pages/gsDetail/gsDetail?cuuid=com_a3zd13corkxd,网易有道,81,20 万元 美元,注册号,110000410284228,500-2000人,2006-03-21,"[""\u514d\u8d39\u73ed\u8f66"", ""\u8f7b\u677e\u6d3b\u8dc3"", ""\u9886\u5bfc\u9017\u6bd4"", ""\u7814\u53d1"", ""\u884c\u4e1a\u7ecf\u9a8c\u4e30\u5bcc"", ""\u6709\u521b\u610f"", ""\u5458\u5de5\u98df\u5802"", ""\u4e92\u8054\u7f51\u6559\u80b2""]","[{""job"": ""C/C++""}, {""job"": ""\u8bfe\u7a0b""}, {""job"": ""\u4eba\u529b\u8d44\u6e90""}, {""job"": ""\u6559\u5e08""}, {""job"": ""Android""}, {""job"": ""\u5de5\u4e1a\u8bbe\u8ba1""}, {""job"": ""\u9500\u552e""}, {""job"": ""\u7f16\u8f91""}, {""job"": ""\u5e7f\u544a""}, {""job"": ""\u6559\u80b2""}, {""job"": ""\u6559\u52a1""}, {""job"": ""\u7ffb\u8bd1""}, {""job"": ""\u7528\u6237\u7814\u7a76""}, {""job"": ""IT\u4e92\u8054\u7f51""}, {""job"": ""\u524d\u7aef""}, {""job"": ""\u4ea7\u54c1\u8fd0\u8425""}, {""job"": ""\u65b0\u5a92\u4f53""}, {""job"": ""\u5185\u5bb9\u8fd0\u8425""}, {""job"": ""\u8fd0\u8425""}, {""job"": ""\u7b97\u6cd5""}, {""job"": ""\u4eba\u4e8b/HR""}, {""job"": ""\u5546\u52a1""}, {""job"": ""\u4ea7\u54c1""}, {""job"": ""Java""}, {""job"": ""\u8bbe\u8ba1""}, {""job"": ""Flash""}, {""job"": ""\u4ea7\u54c1\u52a9\u7406""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""\u7535\u5b50""}, {""job"": ""\u5e02\u573a""}, {""job"": ""iOS""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u6d4b\u8bd5""}]",https://www.shixiseng.com/com/com_a3zd13corkxd,,www.youdao.com
上海,平安科技（深圳）有限公司,有限责任公司（法人独资）,http://www.qichacha.com/firm_SH_b8f7943772f22d363b8c5daa7d41eb15.shtml,最好的金融大数据公司,"计算机/互联网,金融",创新，开放,0,False,https://sxsimg.xiaoyuanzhao.com/99/B7/9934093BA0C3A665415E2CDAAAC7D5B7.jpeg,pages/gsDetail/gsDetail?cuuid=com_vy8wkyas0goy,平安科技,4,20476.38万元人民币,注册号,440301503310230,2000人以上,2008-05-30,[],"[{""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_vy8wkyas0goy,,
广州,广州点动信息科技股份有限公司,股份有限公司(非上市、自然人投资或控股),http://www.qichacha.com/firm_SH_f1ba6628380caa94dfced64926214cd0.shtml,中国移动于广东地区的联络中心外包合作伙伴,通信,"<p>
	广州点动信息科技股份有限公司成立于2005年，采用移动互联网的运营模式，专业打造消费者与企业之间的营销服务价值链，以云坐席为工具，语音和在线服务为手段，为企业开展呼出/呼入、云坐席租赁、联络中心培训、电商运营等全方位规模化外包业务，提高企业客户满意度及客服效率。深受客户好评和信赖！是一家专业的联络中心云坐席平台！
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/0A/D5/0AC0F0ABA2DDA2500A1ABE1CB8222DD5.jpg,pages/gsDetail/gsDetail?cuuid=com_ybgptausyysl,点动信息,5,3361.800000万人民币,注册号,440104000071871,500-2000人,2005-11-17,"[""\u5e74\u8f7b\u4eba\u7684\u4e16\u754c""]","[{""job"": ""\u7f51\u9875/\u7f8e\u5de5""}, {""job"": ""\u4eba\u529b\u8d44\u6e90""}, {""job"": ""\u9500\u552e\u652f\u6301""}, {""job"": ""\u7f16\u8f91/\u91c7\u7f16""}, {""job"": ""\u5e02\u573a\u5546\u52a1""}, {""job"": ""\u4eba\u4e8b\u884c\u653f""}, {""job"": ""IT\u8fd0\u7ef4""}, {""job"": ""\u63a8\u5e7f""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""\u8d22\u4f1a""}, {""job"": ""IT\u4e92\u8054\u7f51""}, {""job"": ""\u7528\u6237\u7814\u7a76""}, {""job"": ""\u96c6\u6210\u7535\u8def""}, {""job"": ""\u4ea7\u54c1\u8fd0\u8425""}, {""job"": ""\u5e02\u573a""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u65b0\u5a92\u4f53""}, {""job"": ""\u8fd0\u8425""}, {""job"": ""\u89c6\u89c9\u8bbe\u8ba1""}]",https://www.shixiseng.com/com/com_ybgptausyysl,,www.touchpoint.cn/
广州,广州点动信息科技股份有限公司,股份有限公司(非上市、自然人投资或控股),http://www.qichacha.com/firm_SH_f1ba6628380caa94dfced64926214cd0.shtml,中国移动于广东地区的联络中心外包合作伙伴,通信,"<p>
	广州点动信息科技股份有限公司成立于2005年，采用移动互联网的运营模式，专业打造消费者与企业之间的营销服务价值链，以云坐席为工具，语音和在线服务为手段，为企业开展呼出/呼入、云坐席租赁、联络中心培训、电商运营等全方位规模化外包业务，提高企业客户满意度及客服效率。深受客户好评和信赖！是一家专业的联络中心云坐席平台！
</p>",0,False,https://sxsimg.xiaoyuanzhao.com/0A/D5/0AC0F0ABA2DDA2500A1ABE1CB8222DD5.jpg,pages/gsDetail/gsDetail?cuuid=com_ybgptausyysl,点动信息,5,3361.800000万人民币,注册号,440104000071871,500-2000人,2005-11-17,"[""\u5e74\u8f7b\u4eba\u7684\u4e16\u754c""]","[{""job"": ""\u7f51\u9875/\u7f8e\u5de5""}, {""job"": ""\u4eba\u529b\u8d44\u6e90""}, {""job"": ""\u9500\u552e\u652f\u6301""}, {""job"": ""\u7f16\u8f91/\u91c7\u7f16""}, {""job"": ""\u5e02\u573a\u5546\u52a1""}, {""job"": ""\u4eba\u4e8b\u884c\u653f""}, {""job"": ""IT\u8fd0\u7ef4""}, {""job"": ""\u63a8\u5e7f""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""\u8d22\u4f1a""}, {""job"": ""IT\u4e92\u8054\u7f51""}, {""job"": ""\u7528\u6237\u7814\u7a76""}, {""job"": ""\u96c6\u6210\u7535\u8def""}, {""job"": ""\u4ea7\u54c1\u8fd0\u8425""}, {""job"": ""\u5e02\u573a""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u65b0\u5a92\u4f53""}, {""job"": ""\u8fd0\u8425""}, {""job"": ""\u89c6\u89c9\u8bbe\u8ba1""}]",https://www.shixiseng.com/com/com_ybgptausyysl,,www.touchpoint.cn/
广州,广州银行股份有限公司信用卡中心,股份有限公司分公司(国有控股),http://www.qichacha.com/firm_SH_d9d967670bbe05b29d8a0bf9f6f06e7c.shtml,做服务领先的有特色的信用卡,银行,广州银行信用卡中心将逐步实践探索，走出一条适合自己的发展道路，立足于本行特点，坚持风险控制先行，创有特色、服务好的信用卡品牌，逐步培育形成客户分析、风险控制和产品研发等方面的核心竞争力。信用卡中心的愿景是做服务领先的有特色的信用卡，打造“小而美”和服务好的口碑，为广州银行的零售业务赢得竞争优势。,0,False,https://sxsimg.xiaoyuanzhao.com/6C/9C/6CB2E7EC5B30AFEA56F73924C9844E9C.jpg,pages/gsDetail/gsDetail?cuuid=com_fyotjmv6ovd5,广州银行信用卡中心,16,无,注册号,440101000446174,500-1000人,2016-07-25,"[""""]","[{""job"": ""\u52a9\u7406""}, {""job"": ""\u4eba\u529b\u8d44\u6e90""}, {""job"": ""\u6e20\u9053""}, {""job"": ""\u884c\u653f""}, {""job"": ""\u54c1\u724c""}, {""job"": ""\u62db\u8058""}, {""job"": ""\u7269\u4e1a\u7ba1\u7406""}, {""job"": ""\u91d1\u878d""}, {""job"": ""\u7b56\u5212""}, {""job"": ""\u94f6\u884c""}, {""job"": ""\u7f8e\u672f\u8bbe\u8ba1""}, {""job"": ""\u57f9\u8bad""}, {""job"": ""IT\u4e92\u8054\u7f51""}, {""job"": ""\u5e02\u573a""}, {""job"": ""\u6570\u636e\u5e93""}, {""job"": ""\u91c7\u8d2d""}, {""job"": ""\u4ea7\u54c1\u8fd0\u8425""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u65b0\u5a92\u4f53""}, {""job"": ""\u8fd0\u8425""}, {""job"": ""\u4eba\u4e8b/HR""}]",https://www.shixiseng.com/com/com_fyotjmv6ovd5,,http://creditcard.gzcb.com.cn/gzcb_web/index.action
