ad_type,city,cname,day,deliver,ftype,invite,is_hr,maxsal,minsal,name,refresh,type,url,uuid
f,上海,麦穗人工智能,5,False,1,False,False,400,280,机器学习开发实习,12-29,intern,https://sxsimg.xiaoyuanzhao.com/A5/80/A5FB767DBCE5B2A959C407F2406CB780.png,inn_4cuinbwdiqro
f,北京,搜狐畅游,5,False,1,False,False,250,200,数据挖掘实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/58/63/5801C1063347DFD45D39BC91D2AE4563.jpg,inn_wgiwmnltugya
f,广州,义语智能,4,False,1,False,False,150,100,数据爬虫实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/09/C6/092F2ACC2A3EED6ADC50E3D63CEDFCC6.png,inn_rmcrdrgz5bxv
f,北京,滴滴出行,5,False,1,False,False,300,200,数据分析实习生-Data Science Dep.,12-29,intern,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,inn_gsitn3r9nfp8
f,成都,清华四川能源互联网研究院,3,False,1,False,False,150,100,数据挖掘实习生（能源传感研究所）,12-29,intern,https://sxsimg.xiaoyuanzhao.com/E7/F7/E7F356E4041A136D288E70D7DA4BECF7.jpg,inn_yxigrtjxivzm
f,北京,网易有道,4,False,1,False,False,300,250,数据挖掘实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/3D/31/3DFFD4ED4083B7B51971DC8210DEAD31.png,inn_ezjwvz2njkdn
f,上海,平安科技,4,False,1,False,False,300,200,数据挖掘工程师实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/99/B7/9934093BA0C3A665415E2CDAAAC7D5B7.jpeg,inn_akhmqmhearhh
f,广州,点动信息,5,False,1,False,False,200,150,内部质量室管理实习生(移),12-29,intern,https://sxsimg.xiaoyuanzhao.com/0A/D5/0AC0F0ABA2DDA2500A1ABE1CB8222DD5.jpg,inn_jw9v2v1brhyv
f,广州,点动信息,5,False,1,False,False,200,150,数据处理及工具开发（移）,12-29,intern,https://sxsimg.xiaoyuanzhao.com/0A/D5/0AC0F0ABA2DDA2500A1ABE1CB8222DD5.jpg,inn_eii3kzpq2cr7
f,广州,广州银行信用卡中心,4,False,1,False,False,100,50,数据分析实习生（天河南）,12-29,intern,https://sxsimg.xiaoyuanzhao.com/6C/9C/6CB2E7EC5B30AFEA56F73924C9844E9C.jpg,inn_ericmtlyl9d2
f,北京,蓦然认知,4,False,1,False,False,350,300,数据挖掘实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/8E/47/8E3A5CBCE4623C9BA688712D8D8A1247.png,inn_xjhiqw97x41v
f,南京,浦和数据,4,False,1,False,False,200,150,数据分析工程师实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/86/E8/86DBEE672F10C03551926FAEE0294AE8.png,inn_p5jow7ox4ybz
f,成都,实验楼,3,False,1,False,False,200,150,机器学习实验设计实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-18/4HIgW3hO8ZSM0VN.png,inn_9z3ms4bscdaq
f,北京,新东方,5,False,1,False,False,200,150,AI数据处理师,12-29,intern,https://sxsimg.xiaoyuanzhao.com/76/62/76295C394993A66353496F4EC3EB7962.png,inn_ft0eb8gcs0sm
f,北京,花牛信息,4,False,1,False,False,400,300,数据挖掘实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/03/B6/0379FE74FD58026EE268F7A88FAADEB6.png,inn_ccojvxozadhv
f,上海,三零卫士,4,False,1,False,False,200,150,安全研究员,12-29,intern,https://sxsimg.xiaoyuanzhao.com/BB/C4/BB6AB56FD879E16AAEB6C1353C5B34C4.jpg,inn_nvdstkaqxdwr
f,北京,矩阵汇丰,3,False,1,False,False,250,200,机器学习/数据挖掘算法实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/C5/73/C508AD1E55D1A0A201FF0B699D062F73.png,inn_ofzvdbdghcax
f,上海,萨摩耶金服,4,False,1,False,False,200,150,数据挖掘实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/96/DB/968094657C5296E6A60EC93490EAE9DB.png,inn_oggzlekrkyb7
f,上海,萨摩耶金服,5,False,1,False,False,200,150,未来实验室实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/96/DB/968094657C5296E6A60EC93490EAE9DB.png,inn_o65qhftscyn1
f,上海,复星集团,4,False,1,False,False,150,100,数据采集梳理实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/30/74/305DEA279158C071459CEF324E133B74.jpg,inn_zydc79dyl6ss
f,上海,麦穗人工智能,5,False,1,False,False,400,280,机器学习开发实习,12-29,intern,https://sxsimg.xiaoyuanzhao.com/A5/80/A5FB767DBCE5B2A959C407F2406CB780.png,inn_4cuinbwdiqro
f,北京,搜狐畅游,5,False,1,False,False,250,200,数据挖掘实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/58/63/5801C1063347DFD45D39BC91D2AE4563.jpg,inn_wgiwmnltugya
f,广州,义语智能,4,False,1,False,False,150,100,数据爬虫实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/09/C6/092F2ACC2A3EED6ADC50E3D63CEDFCC6.png,inn_rmcrdrgz5bxv
f,北京,滴滴出行,5,False,1,False,False,300,200,数据分析实习生-Data Science Dep.,12-29,intern,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,inn_gsitn3r9nfp8
f,成都,清华四川能源互联网研究院,3,False,1,False,False,150,100,数据挖掘实习生（能源传感研究所）,12-29,intern,https://sxsimg.xiaoyuanzhao.com/E7/F7/E7F356E4041A136D288E70D7DA4BECF7.jpg,inn_yxigrtjxivzm
f,北京,网易有道,4,False,1,False,False,300,250,数据挖掘实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/3D/31/3DFFD4ED4083B7B51971DC8210DEAD31.png,inn_ezjwvz2njkdn
f,上海,平安科技,4,False,1,False,False,300,200,数据挖掘工程师实习生,12-29,intern,https://sxsimg.xiaoyuanzhao.com/99/B7/9934093BA0C3A665415E2CDAAAC7D5B7.jpeg,inn_akhmqmhearhh
f,广州,点动信息,5,False,1,False,False,200,150,内部质量室管理实习生(移),12-29,intern,https://sxsimg.xiaoyuanzhao.com/0A/D5/0AC0F0ABA2DDA2500A1ABE1CB8222DD5.jpg,inn_jw9v2v1brhyv
f,广州,点动信息,5,False,1,False,False,200,150,数据处理及工具开发（移）,12-29,intern,https://sxsimg.xiaoyuanzhao.com/0A/D5/0AC0F0ABA2DDA2500A1ABE1CB8222DD5.jpg,inn_eii3kzpq2cr7
